,granice,nr,lat,lon
0,"dajwór parzyste od 2 do 20, halicka (bez 21 i 22,23), miodowa nieparzyste od 49 do 51, przemyska, rzeszowska, starowiœlna nieparzyste od 77 do 99 i parzyste od 52 do 88,, œwiêtego wawrzyñca nieparzyste od 39 do 41 i parzyste od 24 do 40",1,50.0525062,19.9491492
1,"bocheñska, bonifraterska, gazowa, krakowska parzyste od 42 do 52, mostowa, plac wolnica, podgórska od 11 do 16, œwiêtego wawrzyñca nieparzyste od 1 do 35, trynitarska (bez 11)",2,50.0487011,19.9457545
2,"bo¿ego cia³a nieparzyste od 5 do 31 i parzyste od 6 do 26, estery, izaaka, jakuba nieparzyste od 1 do 33, józefa nieparzyste od 1 do 21 i parzyste od 2 do 34, krakowska parzyste od 12 do 40, kupa, meiselsa nieparzyste od 5 do 17 i parzyste od 12 do 24, miodowa nieparzyste od 1 do 31, nowa, plac nowy, warszauera",3,50.051775,19.9431209
3,"bartosza, brzozowa parzyste od 12 do 22, ciemna, dajwór nieparzyste od 1 do 25, jakuba parzyste od 2 do 10, joselewicza nieparzyste od 1 do 23, józefa nieparzyste od 23 do 33 i parzyste od 36 do 46, lewkowa, miodowa nieparzyste od 33 do 47 i parzyste od 32 do 48, plac bawó³, starowiœlna nieparzyste od 47 do 75 i parzyste od 42 do 50, szeroka, œwiêtego wawrzyñca parzyste od 14 do 22, w¹ska",4,50.0510848,19.9484887
4,"dietla nieparzyste od 77 do 115, joselewicza parzyste od 10 do 30, œwiêtego sebastiana parzyste od 26 do 36, starowiœlna nieparzyste od 29 do 45 i parzyste od 26 do 40, wrzesiñska",5,50.0550576,19.9449691
5,"bo¿ego cia³a od 1 do 4, brzozowa nieparzyste od 1 do 17 i parzyste od 2 do 10, dietla nieparzyste od 43 do 75, joselewicza parzyste od 2 do 6, krakowska 2, miodowa parzyste od 2 do 30, podbrzezie, œwiêtego sebastiana nieparzyste od 25 do 33",6,50.0522149,19.942673
6,"augustiañska nieparzyste od 7 do 21 i parzyste od 8 do 36, chmielowskiego, krakowska nieparzyste od 9 do 41, 49, 51, meiselsa 1, 3 i parzyste od 2 do 10, piekarska , rybaki, ska³eczna, skawiñska (bez 8), œwiêtej katarzyny, wêg³owa, wietora",7,50.04973589999999,19.9411339
7,"augustiañska od 1 do 6, dietla nieparzyste od 1 do 41, kordeckiego, krakowska nieparzyste od 1 do 7 i parzyste od 4 do 10, orzeszkowej, pauliñska 3, 5 i parzyste od 2 do 32, œwiêtego stanis³awa",8,50.050612,19.9407669
8,"bernardyñska, dietla parzyste od 10 do 42, koletek, smocza, stradomska nieparzyste od 1 do 27, sukiennicza, œwiêtej agnieszki",9,50.053286,19.9371487
9,"dominikañska, franciszkañska 2 i 4, grodzka nieparzyste od 19 do 65 i parzyste od 2 do 64, kanonicza, plac bernardyñski, plac dominikañski, plac œwiêtej marii magdaleny, plac wszystkich œwiêtych od 3 do 5, podzamcze od 1 do 14 , poselska, senacka, sienna nieparzyste od 1 do 21d, stolarska, straszewskiego 1, 2, œwiêtej gertrudy od 25 do 29, zamek wawel",10,50.05904659999999,19.9397486
