,nr,granice,obwod06,lat,lon
0,1,"dajwór parzyste od 2 do 20, halicka (bez 21 i 22, 23), miodowa nieparzyste od 49 do 51, przemyska, rzeszowska, starowiślna nieparzyste od 77 do 99 i parzyste od 52 do 88, , świętego wawrzyńca nieparzyste od 39 do 41 i parzyste od 24 do 40",1,50.0523429,19.9491997
1,2,"bocheńska, bonifraterska, gazowa, krakowska parzyste od 42 do 52, mostowa, plac wolnica, podgórska od 11 do 16, świętego wawrzyńca nieparzyste od 1 do 35, trynitarska (bez 11)",2,50.0485635,19.9450735
2,3,"bożego ciała nieparzyste od 5 do 31 i parzyste od 6 do 26, estery, izaaka, jakuba nieparzyste od 1 do 33, józefa nieparzyste od 1 do 21 i parzyste od 2 do 34, krakowska parzyste od 12 do 40, kupa, meiselsa nieparzyste od 5 do 17 i parzyste od 12 do 24, miodowa nieparzyste od 1 do 31, nowa, plac nowy, warszauera",3,50.0518009,19.9431755
3,4,"bartosza, brzozowa parzyste od 12 do 22, ciemna, dajwór nieparzyste od 1 do 25, jakuba parzyste od 2 do 10, joselewicza nieparzyste od 1 do 23, józefa nieparzyste od 23 do 33 i parzyste od 36 do 46, lewkowa, miodowa nieparzyste od 33 do 47 i parzyste od 32 do 48, plac bawół, starowiślna nieparzyste od 47 do 75 i parzyste od 42 do 50, szeroka, świętego wawrzyńca parzyste od 14 do 22, wąska",4,50.0504607,19.9487017
4,5,"dietla nieparzyste od 77 do 115, joselewicza parzyste od 10 do 30, świętego sebastiana parzyste od 26 do 36, starowiślna nieparzyste od 29 do 45 i parzyste od 26 do 40, wrzesińska",5,50.055094,19.9448138
5,6,"bożego ciała od 1 do 4, brzozowa nieparzyste od 1 do 17 i parzyste od 2 do 10, dietla nieparzyste od 43 do 75, joselewicza parzyste od 2 do 6, krakowska 2, miodowa parzyste od 2 do 30, podbrzezie, świętego sebastiana nieparzyste od 25 do 33",6,50.0522478,19.9427287
6,7,"augustiańska nieparzyste od 7 do 21 i parzyste od 8 do 36, chmielowskiego, krakowska nieparzyste od 9 do 41, 49, 51, meiselsa 1, 3 i parzyste od 2 do 10, piekarska , rybaki, skałeczna, skawińska (bez 8), świętej katarzyny, węgłowa, wietora",7,50.0492845,19.9409054985253
7,8,"augustiańska od 1 do 6, dietla nieparzyste od 1 do 41, kordeckiego, krakowska nieparzyste od 1 do 7 i parzyste od 4 do 10, orzeszkowej, paulińska 3, 5 i parzyste od 2 do 32, świętego stanisława",8,50.050684,19.9408462
8,9,"bernardyńska, dietla parzyste od 10 do 42, koletek, smocza, stradomska nieparzyste od 1 do 27, sukiennicza, świętej agnieszki",9,50.0539741,19.9389437
9,10,"dominikańska, franciszkańska 2 i 4, grodzka nieparzyste od 19 do 65 i parzyste od 2 do 64, kanonicza, plac bernardyński, plac dominikański, plac świętej marii magdaleny, plac wszystkich świętych od 3 do 5, podzamcze od 1 do 14 , poselska, senacka, sienna nieparzyste od 1 do 21d, stolarska, straszewskiego 1, 2, świętej gertrudy od 25 do 29, zamek wawel",10,50.0590535,19.9397261
10,11,"bogusławskiego nieparzyste od 1 do 9, dietla parzyste od 44 do 68, sarego nieparzyste od 1 do 11, stradomska parzyste od 2 do 18, świętego sebastiana nieparzyste od 1 do 23 i parzyste od 2 do 12, świętej gertrudy od 12 do 24",11,50.0565803,19.9423314
11,12,"bogusławskiego parzyste od 2 do 10, dietla parzyste od 70 do 76, sarego nieparzyste od 13 do 27 i parzyste od 2 do 28, starowiślna nieparzyste od 1 do 27, świętego sebastiana parzyste od 14 do 24, świętej gertrudy od 1 do 11",12,50.056625,19.9425572
12,13,"bonerowska, dietla parzyste od 80 do 90, librowszczyzna, morsztynowska, starowiślna parzyste od 2 do 22, westerplatte od 17 do 20, wielopole, zyblikiewicza nieparzyste od 1 do 19",13,50.059063,19.9457319
13,14,"skłodowskiej-curie, kopernika nieparzyste od 1 do 9 i parzyste od 2 do 16, lubicz nieparzyste od 1 do 9, radziwiłłowska, westerplatte od 1 do 16, doktora zamenhofa, zyblikiewicza parzyste od 2 do 22",14,50.0628262,19.9457115
14,15,"floriańska, mały rynek, mikołajska, na gródku, pijarska nieparzyste od 19 do 23, plac mariacki, plac świętego ducha, sienna parzyste od 2 do 16, szpitalna, świętego krzyża, świętego marka nieparzyste od 21 do 39 i parzyste od 20 do 34, świętego tomasza nieparzyste od 21 do 43 i parzyste od 18 do 34",15,50.063437,19.9402823
15,16,"bracka, franciszkańska 1 i 3, gołębia, grodzka nieparzyste od 1 do 17, jagiellońska, olszewskiego, pijarska nieparzyste od 1 do 17 i parzyste od 2 do 10, plac szczepański, plac wszystkich świętych od 6 do 11, reformacka, rynek główny, sławkowska, szczepańska, szewska, świętego jana, świętego marka od 4 do 19, świętego tomasza nieparzyste od 1 do 19 i parzyste od 2 do 16, świętej anny, wiślna",16,50.0605924,19.9363314
16,17,"plac na groblach, powiśle nieparzyste od 1 do 9 i parzyste od 2 do 12, podzamcze parzyste od 20 do 26, straszewskiego od 4 do 15, tarłowska, tenczyńska, zwierzyniecka parzyste od 2 do 34",17,50.0561004,19.9320048
17,18,"aleja krasińskiego nieparzyste od 1 do 25, marszałka piłsudskiego nieparzyste od 1 do 25 i parzyste od 4 do 40 , morawskiego 2, 4, plac kossaka od 1 do 16, retoryka nieparzyste od 1 do 23 i 4, 4 a , 4 b, 6, 6 a, smoleńsk nieparzyste od 27 do 37 i parzyste od 14 do 26, wygoda",18,50.0590085,19.9257049
18,19,"bożego miłosierdzia, felicjanek, mała, retoryka parzyste od 10 do 26, smoleńsk nieparzyste od 3 do 25 a i parzyste od 2 do 12, straszewskiego od 18 do 22, zegadłowicza, zwierzyniecka nieparzyste od 5 do 29",19,50.0586044,19.9298349
19,20,"aleja mickiewicza nieparzyste od 1 do 23, cybulskiego, czarnowiejska parzyste od 4 do 8, czysta, dolnych młynów parzyste od 6 do 10, garncarska nieparzyste od 1 do 23 (bez 11), humberta, krupnicza nieparzyste od 23 do 37 i parzyste od 32 do 44, marszałka piłsudskiego nieparzyste od 27 do 29, skarbowa (bez 1), wenecja",20,50.0620171,19.9272761
20,21,"czapskich, garncarska parzyste od 2 do 26, jabłonowskich, kapucyńska, krupnicza parzyste od 2 do 30, loretańska, podwale, plac generała sikorskiego, straszewskiego od 23 do 29, studencka",21,50.0605941,19.9300795
21,22,"aleja mickiewicza nieparzyste od 25 do 37, czarnowiejska nieparzyste od 1 do 25, 25 a, dolnych młynów nieparzyste od 3 do 11, karmelicka parzyste od 6 do 42, kochanowskiego nieparzyste od 1 do 7 i parzyste od 2 do 30, krupnicza nieparzyste od 1 do 21, michałowskiego nieparzyste od 11 do 19 i parzyste od 2 do 18, rajska, szujskiego",22,50.0653309,19.9274954
22,23,"aleja mickiewicza nieparzyste od 41 do 63, grabowskiego, karmelicka parzyste od 44 do 70, kochanowskiego nieparzyste od 9 do 25, michałowskiego nieparzyste od 1 do 9, pawlikowskiego",23,50.0670168,19.9276013
23,24,"aleja słowackiego nieparzyste od 1 do 13 a, b, c, d, feldmana, jana sobieskiego, karmelicka nieparzyste od 53 do 57, kremerowska, lenartowicza parzyste od 2 do 14 i nieparzyste od 1 do 13, łobzowska parzyste od 28 do 40, siemiradzkiego",24,50.0738758,19.9351092
24,25,"aleja słowackiego nieparzyste od 15 do 25, krowoderska parzyste od 46 do 74, łobzowska nieparzyste od 41 do 61, spasowskiego, staszica, szlak nieparzyste od 1 do 13 i parzyste od 2 do 12, świętej teresy",25,50.0709465,19.9341829
25,26,"dunajewskiego, garbarska, karmelicka nieparzyste od 1 do 51, łobzowska parzyste od 2 do 26, stefana batorego",26,50.0636038,19.9331656
26,27,"asnyka, biskupia, basztowa od 1 do 10, długa parzyste od 2 do 38, fenn`a, krowoderska nieparzyste od 1 do 33 i parzyste od 2 do 44, łobzowska nieparzyste od 3 do 39 a, 39 b, słowiańska 2",27,50.0667151,19.9348817
27,28,"aleja słowackiego nieparzyste od 27 do 45, długa parzyste od 70 do 88, kolberga, krowoderska nieparzyste od 61 do 79, szlak parzyste od 14 do 18, żuławskiego",28,50.0717177,19.935821
28,29,"długa nieparzyste od 31 do 55 i parzyste od 40 do 64, krowoderska nieparzyste od 35 do 59, pędzichów parzyste od 2 do 22, szlak nieparzyste od 15 do 45",29,50.0695957,19.9379543
29,30,"długa 27, 29 i nieparzyste od 57 do 65, helclów (bez 2), kamienna nieparzyste od 1 do 13, montelupich (bez 7), ogrodowa, pędzichów nieparzyste od 1 do 27 i parzyste od 24 do 28, szlak nieparzyste od 47 do 75 i parzyste od 20 do 42, warszawska, wróblewskiego",30,50.0688968,19.9385341
30,31,"basztowa od 15, bosacka parzyste od 4 do 32 i 29, długa nieparzyste od 1 do 23, krótka, krzywa, kurniki, lubicz parzyste od 10 do 14 a, paderewskiego, pawia, plac nowaka-jeziorańskiego, plac matejki,  rynek kleparski, świętego filipa, worcella, zacisze",31,50.0664034,19.9400308
31,32,"aleja 29 listopada nieparzyste od 1 do 39 i parzyste od 6 do 36, będzińska, biskupa prandoty, bosacka 13, 15, kamienna 15, 16, 17, 19, 35, 45, kątowa, langiewicza, murowana, otwinowskiego 27, 29, rakowicka parzyste od 18 do 30, 30 c, rogatka, towarowa, wjazd, żelazna",32,50.0876982,19.9562378
