numer,Adres,Granice obwodu
1,"Kraków-Śródmieście, Stare Miasto ul. Wąska 5","DAJWÓR parzyste od 2 do 20, HALICKA (bez 21, 22, 23), MIODOWA nieparzyste od 49 do 51, PRZEMYSKA, RZESZOWSKA, STAROWIŚLNA nieparzyste od 77 do 99 i parzyste od 52 do 88, ŚWIĘTEGO WAWRZYŃCA nieparzyste od 39 do 41 i parzyste od 24 do 40"
2,"Kraków-Śródmieście, Stare Miasto ul.Wąska 5","BOCHEŃSKA, BONIFRATERSKA, GAZOWA, KRAKOWSKA parzyste od 42 do 52, MOSTOWA, PLAC WOLNICA, PODGÓRSKA od 11 do 16, ŚWIĘTEGO WAWRZYŃCA nieparzyste od 1 do 35, TRYNITARSKA (bez 11)"
3,"Kraków-Śródmieście, Stare Miasto ul. J. Dietla 53","BOŻEGO CIAŁA nieparzyste od 5 do 31 i parzyste od 6 do 26, ESTERY, IZAAKA, JAKUBA nieparzyste od 1 do 33, JÓZEFA nieparzyste od 1 do 21 i parzyste od 2 do 34, KRAKOWSKA parzyste od 12 do 40, KUPA, MEISELSA nieparzyste od 5 do 17 i parzyste od 12 do 24, MIODOWA nieparzyste od 1 do 31, NOWA, PLAC NOWY, WARSZAUERA"
4,"Kraków-Śródmieście, Stare Miasto ul. Miodowa 36","BARTOSZA, BRZOZOWA parzyste od 12 do 22, CIEMNA, DAJWÓR nieparzyste od 1 do 25, JAKUBA parzyste od 2 do 10, JOSELEWICZA nieparzyste od 1 do 23, JÓZEFA nieparzyste od 23 do 33 i parzyste od 36 do 46, LEWKOWA, MIODOWA nieparzyste od 33 do 47 i parzyste od 32 do 48, PLAC BAWÓŁ, STAROWIŚLNA nieparzyste od 47 do 75 i parzyste od 42 do 50, SZEROKA, ŚWIĘTEGO WAWRZYŃCA parzyste od 14 do 22, WĄSKA"
5,"Kraków-Śródmieście, Stare Miasto ul. Miodowa 36","DIETLA nieparzyste od 77 do 115, JOSELEWICZA parzyste od 10 do 30, ŚWIĘTEGO SEBASTIANA parzyste od 26 do 36, STAROWIŚLNA nieparzyste od 29 do 45 i parzyste od 26 do 40, WRZESIŃSKA"
6,"Kraków-Śródmieście, Stare Miasto ul. Podbrzezie 10","BOŻEGO CIAŁA od 1 do 4, BRZOZOWA nieparzyste od 1 do 17 i parzyste od 2 do 10, DIETLA nieparzyste od 43 do 75, JOSELEWICZA parzyste od 2 do 6, KRAKOWSKA 2, MIODOWA parzyste od 2 do 30, PODBRZEZIE, ŚWIĘTEGO SEBASTIANA nieparzyste od 25 do 33"
7,"Kraków-Śródmieście, Stare Miasto ul. Chmielowskiego 1","AUGUSTIAŃSKA nieparzyste od 7 do 21 i parzyste od 8 do 36, CHMIELOWSKIEGO, KRAKOWSKA nieparzyste od 9 do 41, 49, 51, MEISELSA 1, 3 i parzyste od 2 do 10, PIEKARSKA, RYBAKI, SKAŁECZNA, SKAWIŃSKA (bez 8), ŚWIĘTEJ KATARZYNY, WĘGŁOWA, WIETORA"
8,"Kraków-Śródmieście, Stare Miasto ul. Świętego Stanisława 12","AUGUSTIAŃSKA od 1 do 6, DIETLA nieparzyste od 1 do 41, KORDECKIEGO, KRAKOWSKA nieparzyste od 1 do 7 i parzyste od 4 do 10, ORZESZKOWEJ, PAULIŃSKA 3, 5 i parzyste od 2 do 32, ŚWIĘTEGO STANISŁAWA"
9,"Kraków-Śródmieście, Stare Miasto ul. Bernardyńska 7","BERNARDYŃSKA, DIETLA parzyste od 10 do 42, KOLETEK, SMOCZA, STRADOMSKA nieparzyste od 1 do 27, SUKIENNICZA, ŚWIĘTEJ AGNIESZKI"
10,"Kraków-Śródmieście, Stare Miasto ul. Bernardyńska 7","DOMINIKAŃSKA, FRANCISZKAŃSKA 2 i 4, GRODZKA nieparzyste od 19 do 65 i parzyste od 2 do 64, KANONICZA, PLAC BERNARDYŃSKI, PLAC DOMINIKAŃSKI, PLAC ŚWIĘTEJ MARII MAGDALENY, PLAC WSZYSTKICH ŚWIĘTYCH od 3 do 5, PODZAMCZE od 1 do 14 , POSELSKA, SENACKA, SIENNA nieparzyste od 1 do 21d, STOLARSKA, STRASZEWSKIEGO 1, 2, ŚWIĘTEJ GERTRUDY od 25 do 29, ZAMEK WAWEL"
