,granice,nr,obwody2006
13,"doktora zamenhofa , kopernika nieparzyste od 1 do 9 i parzyste od 2 do 16, lubicz nieparzyste od 1do 9, radziwi³³owska, sk³odowskiej-curie, westerplatte od 1 do 16, , zyblikiewicza parzyste od 2 do 22",14,"[[14, 0.3230769230769231], [51, 0.2014388489208633], [6, 0.1318181818181818]]"
16,"plac na groblach, podzamcze parzyste od 20 do 26, powiœle nieparzyste od 1 do 9 i parzyste od 2 do 12, straszewskiego od 4 do 15, tar³owska, tenczyñska, zwierzyniecka parzyste od 2 do 34",17,"[[17, 0.8279569892473119], [19, 0.7058823529411765], [137, 0.5543478260869565]]"
43,"aleja pokoju nieparzyste od 1 do 23, 27 a, b i 29, 29 a, 29 b, bobrowskiego, pu³kownika nullo nieparzyste od 3 do 7 i parzyste od 4 do 6, 8 a,",44,"[[45, 0.7416666666666667], [44, 0.5622775800711743], [77, 0.5503875968992248]]"
56,"aleja 29 listopada nieparzyste od 95 do 145 i parzyste od 88 do 154, chlebowa, dobrego pasterza 4, 6, 8, 12, 15, 15a, 16, 19, 20, 21a, 24, 25a, 26, 28, 29, 30, 30a, 31, 31a, 31b, 32, 34, 36, 36c, 37, 37a, 37b, 39, 40, jezuitów, na barciach, nad strug¹ 7a, 17, pocieszka, powstañców 26, rybianka, szklana, œwiêtego andrzeja boboli,",57,"[[57, 0.29476584022038566], [54, 0.24793388429752067], [53, 0.17872340425531916]]"
63,"strzelców 4a, 5a, 6a, 7, 7a, 7b, 9b, 7c, 9, 9a, 11, 11a",64,"[[274, 0.4339622641509434], [63, 0.42424242424242425], [109, 0.3619047619047619]]"
64,"reduta 5, 6, 9, 9a, 11, 11a, strzelców 14, 17, 18, 19, 19a, 21, 23",65,"[[193, 0.544], [276, 0.5030674846625767], [144, 0.4854368932038835]]"
68,"akacjowa 10, 12, cieœlewskiego nieparzyste",69,"[[313, 0.5984251968503937], [175, 0.5473684210526316], [258, 0.4838709677419355]]"
80,"janickiego, ³¹kowa, meissnera nieparzyste od 17 do 35, niedu¿a, u³anów nieparzyste od 1 do 5a i parzyste od 2 do 14, w³odkowica parzyste od 2 do 8",81,"[[78, 0.8427299703264095], [77, 0.7862595419847328], [75, 0.63003663003663]]"
81,"kantora, meissnera 32, œliczna",82,"[[58, 0.38095238095238093], [348, 0.36363636363636365], [252, 0.345679012345679]]"
89,"podkowiñskiego, radzikowskiego nieparzyste od 61 do 81 i parzyste od 114 do 138",90,"[[43, 0.723404255319149], [174, 0.7034482758620689], [237, 0.6538461538461539]]"
90,radzikowskiego nieparzyste od 17 do 51 i parzyste od 70 do 106d,91,"[[174, 0.7441860465116279], [256, 0.7213114754098361], [43, 0.704]]"
92,"pu¿aka nieparzyste od 3 do 25 i parzyste od 2 do 8, radzikowskiego 66",93,"[[90, 0.6956521739130435], [43, 0.6564885496183206], [287, 0.6511627906976745]]"
97,"ksiêdza siemaszki nieparzyste od 13a do 33 (bez 17c) i parzyste od 4 do 34, pielêgniarek",98,"[[43, 0.6133333333333333], [174, 0.6103896103896104], [94, 0.5828571428571429]]"
98,"bratys³awska, doktora twardego, ksiêdza siemaszki nieparzyste od 37 do 43a i parzyste od 38 do 64, lekarska, pr¹dnicka nieparzyste od 41 do 89 i parzyste od 46 do 76",99,"[[28, 0.6211180124223602], [29, 0.5822784810126582], [95, 0.565597667638484]]"
100,"jaracza, konecznego, reja (bez 9), solskiego",101,"[[289, 0.375], [102, 0.3488372093023256], [362, 0.33783783783783783]]"
101,"bobrzeckiej, frycza-modrzewskiego, reja 9, ¿abiniec, ¿mujdzka nieparzyste od 25 do 45, 49 i parzyste od 18 do 32",102,"[[237, 0.5925925925925926], [43, 0.5862068965517241], [174, 0.5730337078651685]]"
102,"siewna 21, 21a, 21b, 21c, 21d, zawodzie",103,"[[144, 0.47368421052631576], [273, 0.4418604651162791], [374, 0.4367816091954023]]"
105,"mackiewicza od 13, siewna 23, 23a, 23b",106,"[[100, 0.6181818181818182], [321, 0.4935064935064935], [369, 0.4470588235294118]]"
106,"ba³tycka, imbramowska, jazowa, mackiewicza od 1 do 12, narutowicza, papiernicza",107,"[[101, 0.6220472440944882], [91, 0.43956043956043955], [60, 0.43478260869565216]]"
117,"rusznikarska nieparzyste od 13 do 21 i parzyste od 6 do 20, rusznikarska-deptak, wybickiego 1, 1b, 3, 3a, 5, 8, 10",118,"[[110, 0.647887323943662], [111, 0.6294820717131474], [287, 0.5806451612903226]]"
120,"kuŸnicy ko³³¹tajowskiej nieparzyste 13c, 13d i od 17 oraz parzyste od 18, natansona, s³omczyñskiego",121,"[[114, 0.6532663316582915], [287, 0.504950495049505], [174, 0.49696969696969695]]"
121,kuŸnicy ko³³¹tajowskiej od 1 do 13b i od 14 do 16d,122,"[[319, 0.5274725274725275], [359, 0.5238095238095238], [174, 0.5172413793103449]]"
122,"aleja 29 listopada nieparzyste od 153 i parzyste od 162, banacha, marczyñskiego, potockiego",123,"[[54, 0.5877551020408164], [53, 0.5714285714285714], [233, 0.5655172413793104]]"
123,"arcybiskupa feliñskiego, grabczaka, ksiêdza meiera",124,"[[115, 0.40540540540540543], [385, 0.3937007874015748], [253, 0.3853211009174312]]"
139,"chopina nieparzyste od 1 do 13 i parzyste od 4 do 18, czarnowiejska nieparzyste od 41 do 51, kar³owicza, konarskiego nieparzyste od 1 do 37, lea parzyste od 4 do 12a, symfoniczna, szymanowskiego",140,"[[132, 0.7506426735218509], [186, 0.631578947368421], [29, 0.6028985507246377]]"
157,"bronowicka nieparzyste od 43 do 69, czepca nieparzyste, górna, kmietowicza, krakusów, rodakowskiego, rydla 26, 28, wallek-walewskiego, wjazdowa, z³oty róg od 1 do 23",158,"[[149, 0.7280898876404495], [150, 0.5917602996254682], [86, 0.48936170212765956]]"
158,"bronowicka nieparzyste od 5 do 39, czeladnicza, g³owackiego parzyste, grenadierów, halczyna, rydla nieparzyste od 21a do 47, zaczarowane ko³o",159,"[[149, 0.6555819477434679], [48, 0.5252525252525253], [150, 0.5185185185185185]]"
161,"armii krajowej 18, lea nieparzyste od 189 i parzyste od 140, mys³akowskiego 13, przybyszewskiego 71",162,"[[233, 0.5751633986928104], [287, 0.5742574257425742], [184, 0.5381165919282511]]"
178,"burgundzka, gwieŸdzista, kobierzyñska nieparzyste od 165 i parzyste od 144, koszarówka, normandzka, obozowa nieparzyste od 1 do 45f, parzyste do 24c, profesor bieniarzówny, pu³kownika spychalskiego, skoœna, szuwarowa 1, 3, 4, wandejska, zawi³a nieparzyste od 51",179,"[[169, 0.26452410383189123], [222, 0.19182948490230906], [187, 0.18983050847457628]]"
179,"obozowa nieparzyste od 53 do 63, parzyste od 28 do 78b",180,"[[174, 0.7166666666666667], [43, 0.6896551724137931], [233, 0.6851851851851852]]"
180,"chmieleniec, szuwarowa 5, 6, 7, 8",181,"[[388, 0.4745762711864407], [393, 0.4406779661016949], [341, 0.42424242424242425]]"
181,"czerwone maki, lubostroñ, szwai",182,"[[170, 0.4806201550387597], [58, 0.375], [348, 0.3582089552238806]]"
182,profesora bobrzyñskiego,183,"[[354, 0.43636363636363634], [259, 0.4], [64, 0.39285714285714285]]"
183,"biesiadna, biskupa ma³ysiaka parzyste, doktora babiñskiego nieparzyste od 15a do 43c (bez 25, 29) i parzyste do 52, doktora piltza, kolista, krum³owskiego, kwiecista, macierzanki, spacerowa nieparzyste od 9 (bez 27) i parzyste, tymotkowa, zamiejska",184,"[[119, 0.19607843137254902], [237, 0.19076923076923077], [234, 0.17073170731707318]]"
185,"bu³garska, dereniowa, krokusowa, liœciasta, ³any, pastelowa, podhalañska nieparzyste, pszczelna, ruczaj nieparzyste od 17 do 45 i parzyste od 22 do 62b, s¹siedzka, turonia nieparzyste, zbrojarzy nieparzyste od 85",186,"[[173, 0.40387722132471726], [77, 0.25], [89, 0.2261904761904762]]"
186,"kobierzyñska nieparzyste od 141 do 163 i parzyste od 128 do 142a, magnolii, obozowa nieparzyste od 75, przyzby, raciborska, studzianki, torfowa, zalesie nieparzyste od 1 do 37 i parzyste od 2 do 18",187,"[[173, 0.6423841059602649], [136, 0.572972972972973], [23, 0.5608465608465608]]"
188,grota roweckiego nieparzyste od 35 do 49,189,"[[175, 0.7311827956989247], [238, 0.6571428571428571], [142, 0.6410256410256411]]"
193,"benedyktyñska, bogucianka od 1 do 41, boles³awa œmia³ego, browarniana, dziewiarzy, fedkowicza, heligundy, lutego tura, nad czern¹, obrony tyñca, promowa, sko³czanka, szczygielskiego, œwiêtojañska, toporczyków, zagórze",194,"[[179, 0.2049586776859504], [387, 0.12307692307692308], [223, 0.10550458715596331]]"
197,"ekielskiego, harasymowicza, krasowa, ksiê¿arskiego, moraczewskiego, na leszczu, odrzywolskiego, pokutyñskiego, pryliñskiego, prze³om, sodowa, talowskiego, zakrzowiecka od 45 do 63",198,"[[181, 0.5953654188948306], [124, 0.44], [243, 0.3948339483394834]]"
204,"kapelanka nieparzyste 39 i od 57 i parzyste od 44, lipiñskiego, mi³kowskiego, str¹kowa nieparzyste",205,"[[188, 0.6378378378378379], [184, 0.5855855855855856], [288, 0.5637065637065637]]"
205,"grota roweckiego nieparzyste od 11 do 29, pychowicka",206,"[[175, 0.6095238095238096], [237, 0.6046511627906976], [256, 0.5765765765765766]]"
206,"grota roweckiego 31, kamieniarska, kobierzyñska nieparzyste od 1 do 89, norymberska do 11, profesora ³ojasiewicza, rostworowskiego",207,"[[189, 0.5692883895131086], [184, 0.49606299212598426], [28, 0.4808362369337979]]"
210,s³omiana parzyste od 2 do 24,211,"[[238, 0.7241379310344828], [236, 0.711864406779661], [76, 0.7037037037037037]]"
211,"kapelanka nieparzyste od 3 do 15a, rozdro¿e, s³omiana nieparzyste od 19",212,"[[192, 0.6357615894039735], [174, 0.6277372262773723], [217, 0.6074074074074074]]"
215,"goryczkowa, jagodowa nieparzyste od 11 do 19 i parzyste od 2 do 12, kêpna, ¿ywiecka parzyste od 12 do 48",216,"[[150, 0.6213592233009708], [184, 0.6140350877192983], [42, 0.6]]"
216,"herberta 8, 10, 12, 14, jeleniogórska, jugowicka parzyste, marcika, modra, orzechowa, osiedle zau³ek jugowicki, podmok³a, sielska, zakopiañska nieparzyste od 99 do 145 i parzyste od 54 do 86, zawi³a nieparzyste od 1 do 49",217,"[[198, 0.3510204081632653], [288, 0.225130890052356], [1, 0.2188183807439825]]"
217,"fredry nieparzyste do 33 i parzyste do 38, genera³a roi 4, 4a, 4b, 6, goslara, harcerska, ksiêdza tischnera 8, kurasia, lechicka, malutka, na grz¹dkach, ogrodniki, pasieczna, przy torze, urocza, w³odarska, zakopiañska parzyste od 2 do 34",218,"[[199, 0.27784730913642053], [51, 0.17142857142857143], [217, 0.16611295681063123]]"
227,"aleksandrowicza, chrzanowskiego, goœcinna, grzepskiego, krzy¿añskiego, niewodniczañskiego od 40, nowickiego",228,"[[264, 0.4144144144144144], [60, 0.4021164021164021], [291, 0.3963963963963964]]"
231,"borkowska, czo³gistów, kad³ubka, kluka, nenko, wichrowa, ¿aków krakowskich",232,"[[211, 0.4277456647398844], [231, 0.34234234234234234], [226, 0.33962264150943394]]"
233,"korpala parzyste od 22, mieczykowa, profesora bartla nieparzyste, warowna",234,"[[257, 0.5547445255474452], [73, 0.5466666666666666], [217, 0.5401459854014599]]"
235,"anusi, arktyczna, babinicza, billewiczów, biskupa ma³ysiaka nieparzyste, braci kiemliczów, butrymów, centkiewiczów, dêboroga, doktora babiñskiego nieparzyste do 15, drozdowskich, galaktyczna, kamieniecka, ketlinga, komuny paryskiej, korpala od 1 do 20, krymska, laudañska, orleañska, paw³a z krosna, pod dêbami, pod strug¹, polarna, profesora bartla parzyste, profesora czeppe, profesora geremka, profesora wicherkiewicza, sidziñska, soroki, spacerowa nieparzyste do 5a, 27, zaporoska, zbaraska",236,"[[169, 0.22840690978886757], [171, 0.09237379162191192], [371, 0.08247422680412371]]"
237,"chorzowska, opatkowicka, poroniñska, smoleñskiego, starowiejska od 1 do 11, torowa, zakopiañska nieparzyste od 183 i parzyste od 196, zembrzycka",238,"[[45, 0.5206611570247934], [189, 0.5124555160142349], [172, 0.5112781954887218]]"
239,"bochenka (bez 12) , podedworze parzyste od 6 do 12",240,"[[187, 0.5952380952380952], [76, 0.5789473684210527], [215, 0.574468085106383]]"
240,³u¿ycka nieparzyste od 55 do 69,241,"[[238, 0.7540983606557377], [76, 0.631578947368421], [187, 0.6153846153846154]]"
241,"kordiana, tuchowska nieparzyste od 1 do 27 i parzyste od 2 do 34",242,"[[43, 0.7142857142857143], [174, 0.7076923076923077], [256, 0.6991869918699187]]"
243,"babiego lata 24, cechowa nieparzyste od 1 do 55 i parzyste od 2 do 70, ³ê¿ce, myœlenicka nieparzyste od 47 do 77 i parzyste od 42 do 60, stoja³owskiego nieparzyste od 33 do 41a, szarych szeregów, wy¿ynna nieparzyste do 9 i parzyste do 12",244,"[[219, 0.32450331125827814], [29, 0.25773195876288657], [287, 0.2]]"
250,"bia³oruska parzyste od 2 do 10, czarnogórska 15, 18, serbska 1, 3, w³oska 2b i nieparzyste od 1 do 11",251,"[[226, 0.6559139784946236], [217, 0.5818181818181818], [248, 0.5660377358490566]]"
251,"bia³oruska nieparzyste od 15 do 65, lirników, nowos¹decka parzyste od 46, poturalskiego, trybuny ludów",252,"[[227, 0.6134453781512605], [287, 0.5658536585365853], [110, 0.5572139303482587]]"
254,"bujaka (bez 14, 14a, 15, 16, 16a), ³owienicka, myœlenicka parzyste od 34 do 40, pagórkowa, stoja³owskiego nieparzyste do 7",255,"[[230, 0.5893416927899686], [217, 0.4946236559139785], [272, 0.4927536231884058]]"
256,"porucznika halszki, wys³ouchów nieparzyste do 3a",257,"[[231, 0.7764705882352941], [236, 0.5822784810126582], [64, 0.5432098765432098]]"
260,"wys³ouchów nieparzyste od 29 do 55, turniejowa 72",261,"[[234, 0.7286821705426356], [236, 0.7], [64, 0.5609756097560976]]"
266,"sas-zubrzyckiego do 8, tarnobrzeska",267,"[[357, 0.4470588235294118], [365, 0.4044943820224719], [329, 0.4]]"
267,"beskidzka nieparzyste, madera, malwowa, pierzchówka nieparzyste od 5 i parzyste od 16, przykopy nieparzyste od 3 i parzyste od 6, sas-zubrzyckiego 9, 10",268,"[[240, 0.6801346801346801], [138, 0.5993690851735016], [68, 0.5907692307692308]]"
269,"henryka i karola czeczów, malachitowa, opalowa, z³ocieniowa nieparzyste od 21 i parzyste od 28",270,"[[43, 0.5384615384615384], [233, 0.5135135135135135], [256, 0.5098039215686274]]"
278,"aleksandry nieparzyste od 25 i parzyste od 24, heleny parzyste od 22, kaimska, ma³a góra 32, wielicka parzyste od 230 do 246",279,"[[249, 0.7086092715231788], [17, 0.5870967741935483], [29, 0.5672727272727273]]"
285,"konrada wallenroda, republiki korczakowskiej, teligi nieparzyste i parzyste od 2 do 6",286,"[[257, 0.6040268456375839], [43, 0.5306122448979592], [142, 0.5203252032520326]]"
289,"jerzmanowskiego 35, 39 i parzyste od 28",290,"[[261, 0.6666666666666666], [256, 0.6530612244897959], [255, 0.6444444444444445]]"
292,"czerwiakowskiego, kosocicka nieparzyste od 1 do 71 i parzyste od 2 do 70a, schweitzera, wielicka nieparzyste od 269",293,"[[264, 0.8], [184, 0.6108786610878661], [287, 0.5871559633027523]]"
297,"andrusikiewicza, bielskiego, genera³a jasiñskiego, pop³awskiego, prosta nieparzyste do 19 i parzyste do 16",298,"[[172, 0.5614035087719298], [174, 0.5116279069767442], [96, 0.5112107623318386]]"
304,"na koz³ówce 2, 4, 4a, 7, 8, 9, nowos¹decka 1, 3, 5, spó³dzielców nieparzyste od 15 i parzyste",305,"[[276, 0.7473684210526316], [275, 0.6588235294117647], [271, 0.5190839694656488]]"
306,"heweliusza, koŸlarska, krzywda od 1 do 27, nowohucka nieparzyste od 67, p³aszowska od 1 do 38e, powstañców wielkopolskich nieparzyste od 13 i parzyste od 16a, sarmacka, strycharska, szklarska, wodna od 24",307,"[[77, 0.2], [278, 0.19433198380566802], [236, 0.16170212765957448]]"
307,"gromadzka, krzywda od 28, paproci, p³aszowska od 39, saska nieparzyste, stró¿a rybna",308,"[[134, 0.47619047619047616], [261, 0.4444444444444444], [264, 0.44221105527638194]]"
308,"koszykarska, nowohucka nieparzyste od 13b do 53, parzyste 92, 92a, ksiêdza turka",309,"[[279, 0.5962732919254659], [174, 0.5753424657534246], [43, 0.5633802816901409]]"
309,"gumniska, lasówka, myœliwska (bez parzystych od 70 do 78), zadworze",310,"[[281, 0.6259541984732825], [280, 0.5317460317460317], [69, 0.47540983606557374]]"
310,"ksiêdza stoszki, przewóz nieparzyste od 1 do 55 i parzyste od 2 do 40d, saska parzyste, szczeciñska, szczygla",311,"[[280, 0.7210884353741497], [54, 0.5703422053231939], [119, 0.5688073394495413]]"
328,"abrahama 6, dauna nieparzyste do 23 i parzyste do 22, drewniana, dworcowa parzyste, gipsowa, heltmana nieparzyste do 15a i parzyste do 58, jerozolimska, kamieñskiego 36, lecha, ³uczników, malborska parzyste do 18, mieczników, pañska nieparzyste do 27 i parzyste do 20a, siemomys³a, stoigniewa, tarnowska, uœmiech, wielicka nieparzyste od 59 do 115, wodna nieparzyste od 1 do 23 i parzyste od 2 do 10",329,"[[221, 0.3111111111111111], [298, 0.23157894736842105], [11, 0.17335473515248795]]"
331,"aleja pokoju nieparzyste od 71 i parzyste od 58, centralna 5, 28, 30, 34, kamionka, na ³¹kach, nowohucka 1, 3, woŸniców",332,"[[301, 0.525974025974026], [141, 0.48132780082987553], [54, 0.46886446886446886]]"
332,"centralna 32 i od 38, galicyjska, sikorki, so³tysowska od 1 do 47 (bez 13d)",333,"[[407, 0.47368421052631576], [372, 0.45], [247, 0.44274809160305345]]"
