,year,nr_obwodu,majchrowski,po,pis,gibala,lesniak,berkowicz,inni,max_voters,votes,majchrowski_proc,po_proc,pis_proc,gibala_proc,lesniak_proc,berkowicz_proc,inni_proc
0,2006,1,213,117,121,0,0,0,47,1253,498,0.42771084337349397,0.23493975903614459,0.2429718875502008,0.0,0.0,0.0,0.09437751004016064
1,2006,2,144,79,130,0,0,0,39,1074,392,0.3673469387755102,0.20153061224489796,0.33163265306122447,0.0,0.0,0.0,0.09948979591836735
2,2006,3,183,116,110,0,0,0,56,1421,465,0.3935483870967742,0.24946236559139784,0.23655913978494625,0.0,0.0,0.0,0.12043010752688173
3,2006,4,179,90,115,0,0,0,41,1180,425,0.4211764705882353,0.21176470588235294,0.27058823529411763,0.0,0.0,0.0,0.09647058823529411
4,2006,5,203,107,125,0,0,0,54,1291,489,0.41513292433537835,0.21881390593047034,0.2556237218813906,0.0,0.0,0.0,0.11042944785276074
5,2006,6,144,58,89,0,0,0,41,835,332,0.43373493975903615,0.1746987951807229,0.2680722891566265,0.0,0.0,0.0,0.12349397590361445
6,2006,7,249,149,200,0,0,0,69,1558,667,0.3733133433283358,0.22338830584707647,0.29985007496251875,0.0,0.0,0.0,0.10344827586206896
7,2006,8,219,148,196,0,0,0,61,1650,624,0.35096153846153844,0.23717948717948717,0.3141025641025641,0.0,0.0,0.0,0.09775641025641026
8,2006,9,133,105,91,0,0,0,35,920,364,0.36538461538461536,0.28846153846153844,0.25,0.0,0.0,0.0,0.09615384615384616
9,2006,10,116,120,167,0,0,0,48,1056,451,0.2572062084257206,0.2660753880266075,0.37028824833702884,0.0,0.0,0.0,0.10643015521064302
10,2006,11,183,120,148,0,0,0,55,1248,506,0.3616600790513834,0.23715415019762845,0.2924901185770751,0.0,0.0,0.0,0.10869565217391304
11,2006,12,169,130,95,0,0,0,78,1085,472,0.3580508474576271,0.2754237288135593,0.20127118644067796,0.0,0.0,0.0,0.1652542372881356
12,2006,13,256,151,161,0,0,0,49,1540,617,0.41491085899513774,0.24473257698541329,0.26094003241491087,0.0,0.0,0.0,0.07941653160453808
13,2006,14,166,99,83,0,0,0,37,862,385,0.43116883116883115,0.2571428571428571,0.21558441558441557,0.0,0.0,0.0,0.09610389610389611
14,2006,15,187,157,203,0,0,0,54,1184,601,0.31114808652246256,0.2612312811980033,0.33777038269550747,0.0,0.0,0.0,0.08985024958402663
15,2006,16,238,164,214,0,0,0,71,1365,687,0.34643377001455605,0.23871906841339155,0.31149927219796214,0.0,0.0,0.0,0.10334788937409024
16,2006,17,170,126,116,0,0,0,53,973,465,0.3655913978494624,0.2709677419354839,0.24946236559139784,0.0,0.0,0.0,0.11397849462365592
17,2006,18,256,158,134,0,0,0,64,1239,612,0.41830065359477125,0.2581699346405229,0.21895424836601307,0.0,0.0,0.0,0.10457516339869281
18,2006,19,153,124,186,0,0,0,47,1051,510,0.3,0.24313725490196078,0.36470588235294116,0.0,0.0,0.0,0.09215686274509804
19,2006,20,116,95,77,0,0,0,25,745,313,0.3706070287539936,0.3035143769968051,0.24600638977635783,0.0,0.0,0.0,0.07987220447284345
20,2006,21,208,150,216,0,0,0,64,1354,638,0.32601880877742945,0.23510971786833856,0.3385579937304075,0.0,0.0,0.0,0.10031347962382445
21,2006,22,169,148,69,0,0,0,42,1004,428,0.39485981308411217,0.34579439252336447,0.16121495327102803,0.0,0.0,0.0,0.09813084112149532
22,2006,23,160,106,47,0,0,0,28,709,341,0.46920821114369504,0.31085043988269795,0.1378299120234604,0.0,0.0,0.0,0.08211143695014662
23,2006,24,281,182,199,0,0,0,68,1598,730,0.38493150684931504,0.2493150684931507,0.2726027397260274,0.0,0.0,0.0,0.09315068493150686
24,2006,25,221,146,144,0,0,0,53,1273,564,0.39184397163120566,0.25886524822695034,0.2553191489361702,0.0,0.0,0.0,0.09397163120567376
25,2006,26,237,161,145,0,0,0,60,1286,603,0.39303482587064675,0.2669983416252073,0.24046434494195687,0.0,0.0,0.0,0.09950248756218906
26,2006,27,287,213,174,0,0,0,58,1554,732,0.39207650273224043,0.29098360655737704,0.23770491803278687,0.0,0.0,0.0,0.07923497267759563
27,2006,28,210,136,97,0,0,0,41,1004,484,0.43388429752066116,0.2809917355371901,0.20041322314049587,0.0,0.0,0.0,0.08471074380165289
28,2006,29,99,103,106,0,0,0,28,776,336,0.29464285714285715,0.30654761904761907,0.31547619047619047,0.0,0.0,0.0,0.08333333333333333
29,2006,30,177,126,254,0,0,0,52,1266,609,0.29064039408866993,0.20689655172413793,0.41707717569786534,0.0,0.0,0.0,0.08538587848932677
30,2006,31,243,186,133,0,0,0,51,1599,613,0.3964110929853181,0.3034257748776509,0.2169657422512235,0.0,0.0,0.0,0.08319738988580751
31,2006,32,136,83,98,0,0,0,19,1001,336,0.40476190476190477,0.24702380952380953,0.2916666666666667,0.0,0.0,0.0,0.05654761904761905
32,2006,33,290,222,182,0,0,0,75,1479,769,0.37711313394018203,0.2886866059817945,0.23667100130039012,0.0,0.0,0.0,0.09752925877763328
33,2006,34,309,193,108,0,0,0,58,1371,668,0.4625748502994012,0.28892215568862273,0.16167664670658682,0.0,0.0,0.0,0.08682634730538923
34,2006,35,306,199,143,0,0,0,85,1441,733,0.417462482946794,0.27148703956343795,0.19508867667121418,0.0,0.0,0.0,0.11596180081855388
35,2006,36,195,127,78,0,0,0,39,1050,439,0.44419134396355353,0.28929384965831434,0.1776765375854214,0.0,0.0,0.0,0.0888382687927107
36,2006,37,256,159,148,0,0,0,61,1591,624,0.41025641025641024,0.2548076923076923,0.23717948717948717,0.0,0.0,0.0,0.09775641025641026
37,2006,38,240,135,119,0,0,0,42,1093,536,0.44776119402985076,0.251865671641791,0.22201492537313433,0.0,0.0,0.0,0.07835820895522388
38,2006,39,332,197,261,0,0,0,85,1736,875,0.37942857142857145,0.22514285714285714,0.29828571428571427,0.0,0.0,0.0,0.09714285714285714
39,2006,40,281,110,191,0,0,0,53,1477,635,0.44251968503937006,0.1732283464566929,0.30078740157480316,0.0,0.0,0.0,0.08346456692913386
40,2006,41,252,126,179,0,0,0,57,1617,614,0.41042345276872966,0.20521172638436483,0.2915309446254072,0.0,0.0,0.0,0.09283387622149837
41,2006,42,213,108,153,0,0,0,43,1323,517,0.4119922630560928,0.20889748549323017,0.29593810444874274,0.0,0.0,0.0,0.08317214700193423
42,2006,43,261,117,182,0,0,0,43,1316,603,0.43283582089552236,0.19402985074626866,0.3018242122719735,0.0,0.0,0.0,0.07131011608623548
43,2006,44,285,210,134,0,0,0,51,1551,680,0.41911764705882354,0.3088235294117647,0.19705882352941176,0.0,0.0,0.0,0.075
44,2006,45,383,142,219,0,0,0,64,1634,808,0.474009900990099,0.17574257425742573,0.27103960396039606,0.0,0.0,0.0,0.07920792079207921
45,2006,46,206,88,121,0,0,0,21,1047,436,0.4724770642201835,0.2018348623853211,0.2775229357798165,0.0,0.0,0.0,0.0481651376146789
46,2006,47,193,102,76,0,0,0,22,963,393,0.4910941475826972,0.2595419847328244,0.19338422391857507,0.0,0.0,0.0,0.05597964376590331
47,2006,48,248,148,190,0,0,0,50,1238,636,0.389937106918239,0.23270440251572327,0.29874213836477986,0.0,0.0,0.0,0.07861635220125786
48,2006,49,203,140,125,0,0,0,40,1352,508,0.39960629921259844,0.2755905511811024,0.24606299212598426,0.0,0.0,0.0,0.07874015748031496
49,2006,50,189,127,126,0,0,0,51,1175,493,0.38336713995943206,0.25760649087221094,0.25557809330628806,0.0,0.0,0.0,0.10344827586206896
50,2006,51,243,129,148,0,0,0,55,1295,575,0.4226086956521739,0.22434782608695653,0.2573913043478261,0.0,0.0,0.0,0.09565217391304348
51,2006,52,292,167,201,0,0,0,77,1546,737,0.39620081411126185,0.2265943012211669,0.2727272727272727,0.0,0.0,0.0,0.1044776119402985
52,2006,53,220,86,94,0,0,0,23,778,423,0.5200945626477541,0.2033096926713948,0.2222222222222222,0.0,0.0,0.0,0.054373522458628844
53,2006,54,351,194,205,0,0,0,69,1650,819,0.42857142857142855,0.23687423687423687,0.2503052503052503,0.0,0.0,0.0,0.08424908424908426
54,2006,55,254,134,145,0,0,0,62,1703,595,0.426890756302521,0.22521008403361345,0.24369747899159663,0.0,0.0,0.0,0.10420168067226891
55,2006,56,266,190,167,0,0,0,52,1499,675,0.3940740740740741,0.2814814814814815,0.2474074074074074,0.0,0.0,0.0,0.07703703703703704
56,2006,57,392,203,297,0,0,0,84,2044,976,0.4016393442622951,0.20799180327868852,0.3043032786885246,0.0,0.0,0.0,0.0860655737704918
57,2006,58,285,158,141,0,0,0,43,1379,627,0.45454545454545453,0.25199362041467305,0.22488038277511962,0.0,0.0,0.0,0.0685805422647528
58,2006,59,259,152,120,0,0,0,47,1203,578,0.44809688581314877,0.2629757785467128,0.20761245674740483,0.0,0.0,0.0,0.08131487889273356
59,2006,60,168,100,103,0,0,0,25,788,396,0.42424242424242425,0.25252525252525254,0.2601010101010101,0.0,0.0,0.0,0.06313131313131314
60,2006,61,334,104,187,0,0,0,58,1495,683,0.4890190336749634,0.15226939970717424,0.27379209370424595,0.0,0.0,0.0,0.0849194729136164
61,2006,62,287,156,169,0,0,0,40,1611,652,0.4401840490797546,0.2392638036809816,0.25920245398773006,0.0,0.0,0.0,0.06134969325153374
62,2006,63,421,199,226,0,0,0,54,2135,900,0.4677777777777778,0.22111111111111112,0.2511111111111111,0.0,0.0,0.0,0.06
63,2006,64,225,113,122,0,0,0,45,1296,505,0.44554455445544555,0.22376237623762377,0.24158415841584158,0.0,0.0,0.0,0.0891089108910891
64,2006,65,357,154,168,0,0,0,50,1502,729,0.4897119341563786,0.2112482853223594,0.23045267489711935,0.0,0.0,0.0,0.06858710562414266
65,2006,66,378,262,221,0,0,0,82,1987,943,0.40084835630965004,0.27783669141039236,0.23435843054082714,0.0,0.0,0.0,0.08695652173913043
66,2006,67,214,80,137,0,0,0,32,1055,463,0.46220302375809935,0.17278617710583152,0.2958963282937365,0.0,0.0,0.0,0.06911447084233262
67,2006,68,439,248,215,0,0,0,73,1932,975,0.4502564102564103,0.25435897435897437,0.2205128205128205,0.0,0.0,0.0,0.07487179487179488
68,2006,69,232,121,134,0,0,0,45,1271,532,0.43609022556390975,0.2274436090225564,0.2518796992481203,0.0,0.0,0.0,0.08458646616541353
69,2006,70,174,114,149,0,0,0,46,1003,483,0.36024844720496896,0.2360248447204969,0.3084886128364389,0.0,0.0,0.0,0.09523809523809523
70,2006,71,215,94,128,0,0,0,47,1222,484,0.44421487603305787,0.19421487603305784,0.2644628099173554,0.0,0.0,0.0,0.09710743801652892
71,2006,72,279,156,208,0,0,0,43,1576,686,0.4067055393586006,0.22740524781341107,0.3032069970845481,0.0,0.0,0.0,0.06268221574344024
72,2006,73,252,113,134,0,0,0,40,1203,539,0.4675324675324675,0.20964749536178107,0.24860853432282004,0.0,0.0,0.0,0.07421150278293136
73,2006,74,395,230,249,0,0,0,80,1956,954,0.4140461215932914,0.24109014675052412,0.2610062893081761,0.0,0.0,0.0,0.08385744234800839
74,2006,75,328,250,220,0,0,0,74,1750,872,0.3761467889908257,0.286697247706422,0.25229357798165136,0.0,0.0,0.0,0.08486238532110092
75,2006,76,160,92,105,0,0,0,40,953,397,0.40302267002518893,0.23173803526448364,0.26448362720403024,0.0,0.0,0.0,0.10075566750629723
76,2006,77,216,145,176,0,0,0,47,1326,584,0.3698630136986301,0.2482876712328767,0.3013698630136986,0.0,0.0,0.0,0.08047945205479452
